feature,grupo,pdf_referencia,tipo,descricao,calculo,unidade,n_obs,n_validos,n_missing,pct_missing,taxa_recuperacao_global,min,max,media,mediana,desvio_padrao,p25,p75,iqr,assimetria,curtose,n_outliers,teste_univariado,estatistica_univariada,p_valor,p_bonferroni,p_bh,neg_log10_p,significativa_univariada,tamanho_efeito,tipo_efeito,media_rec0,media_rec1,mediana_rec0,mediana_rec1,diff_medias,diff_padronizada,direcao_efeito,VIF,multicolinear,corr_max_abs,feature_mais_correlacionada,candidata_substituicao,coef_logit,odds_ratio,or_ic_inf,or_ic_sup,p_wald,LR_stat,df_lrt,p_lrt,delta_AIC,reduz_AIC,significativa_modelo,p_permutacao,n_permutacoes,decisao,motivo_decisao,test_level,data_analise,n_categorias,categorias,categoria_modal,freq_modal,categoria_menos_frequente,freq_minima
dist_to_goal,Posicional,2.4.2,continua,Distancia euclidiana ao gol adversario,sqrt((120-x)^2 + (40-y)^2),metros,15958,15958,0,0.0,0.2802,2.7586228448267485,122.87037885511707,70.00067376845499,70.79731631302874,26.43374994447019,49.94274166539872,91.28460985885724,41.34186819345852,-0.15174918714185415,-0.8325647157875187,0.0,Mann-Whitney U,24097397.0,1.4265891260021693e-09,2.9958371646045553e-08,3.3287079606717283e-09,8.845701090658286,True,0.10167187979410279,Cohen d,69.24844980740258,71.93330553777032,69.55228249310011,74.10398099967371,2.684855730367744,0.10167187979410279,recupera mais com valor alto,1.621833290147344,False,0.4470788997019969,numerical_superiority,False,-0.004748540331588645,0.9952627161616993,0.9912499339311845,0.9992917429544362,0.0212402476932647,4.467575098024099,1,0.03454398357825717,2.467575098024099,True,True,,,INCLUIR,aprovada nos testes executados,2,2026-05-16T14:14:10,,,,,,
duration,Posicional,2.4.2,continua,Duracao do evento de pressao,atributo direto do evento,segundos,15958,15958,0,0.0,0.2802,0.017997,11.408008,0.9152280404185988,0.7107145,0.7563370696508948,0.474278,1.07466325,0.60038525,3.236999625974731,17.364499112643134,1189.0,Mann-Whitney U,27446137.0,1.3711655600152524e-11,2.87944767603203e-10,3.5993095950400377e-11,10.862910103591219,True,-0.06780555890469821,Cohen d,0.9295901828153564,0.878328481100425,0.720773,0.655457,-0.051261701714931385,-0.06780555890469821,recupera mais com valor baixo,1.0252528005160384,False,0.108275481258542,n_teammates_10m,False,-0.03882699798634698,0.9619171083489648,0.9090077690568873,1.0179060672874494,0.17858741077147378,1.8791771038486331,1,0.1704277047278393,-0.12082289615136688,False,False,,,EXCLUIR,nao significativa no LRT,2,2026-05-16T14:14:10,,,,,,
minute,Contexto de jogo,2.4.3,continua,Minuto da partida,atributo direto do evento,minuto,15958,15958,0,0.0,0.2802,0.0,124.0,47.31802230855997,46.0,29.470871130796255,22.0,71.0,49.0,0.1918512567983957,-0.9287901094338467,0.0,Mann-Whitney U,25414728.5,0.3115550697708689,1.0,0.32713282325941234,0.5064651773073142,False,0.01870507509938767,Cohen d,47.16357621659267,47.7148288973384,46.0,46.0,0.5512526807457263,0.01870507509938767,recupera mais com valor alto,1.0023125081945408,False,0.025658280056250662,nearest_teammate_dist,False,0.00042359620533384985,1.0004236859348756,0.9990552698174417,1.0017939763857193,0.5441476083456886,0.3998674973008747,1,0.5271576946995102,-1.6001325026991253,False,False,,,EXCLUIR,sem associacao univariada (p_BH >= alpha),2,2026-05-16T14:14:10,,,,,,
score_diff,Contexto de jogo,2.4.3,continua,Diferenca de gols (pressionante - adversario),placar corrido ate o timestamp,gols,15958,15958,0,0.0,0.2802,-5.0,5.0,-0.002067928311818524,0.0,1.0948308632783978,0.0,1.0,1.0,-0.12056188400514929,2.9639105897062215,1363.0,Mann-Whitney U,25642792.5,0.880922697650611,1.0,0.880922697650611,0.055062199938385493,False,0.01340839391870655,Cohen d,-0.006180900147993384,0.008499217177365242,0.0,0.0,0.014680117325358625,0.01340839391870655,recupera mais com valor alto,1.0030430623344546,False,0.02586522294703362,dist_to_goal,False,0.017983098219007117,1.0181457677675803,0.9779454545148862,1.059998591575085,0.381610323663661,0.781743578852911,1,0.3766084213174665,-1.218256421147089,False,False,,,EXCLUIR,sem associacao univariada (p_BH >= alpha),2,2026-05-16T14:14:10,,,,,,
n_teammates_10m,Freeze frame 360,2.4.1,continua,Companheiros em 10m da bola,contagem no freeze frame,contagem,15958,13999,1959,12.276,0.2802,1.0,9.0,2.2946639045646116,2.0,1.1928464503920084,1.0,3.0,2.0,0.9522960432916895,0.9849265580211402,54.0,Mann-Whitney U,17753727.5,2.62335497034527e-22,5.509045437725067e-21,1.3772613594312669e-21,21.581142940354447,True,0.18542929385600584,Cohen d,2.2329066190334426,2.4533401325854154,2.0,2.0,0.22043351355197283,0.18542929385600584,recupera mais com valor alto,inf,True,0.6360982089226472,numerical_superiority,True,0.06430387047955889,1.0664164019949869,0.0,inf,0.9999998511329703,0.0,1,1.0,0.0,False,False,,,REVISAR,multicolinearidade (VIF >= 5),2,2026-05-16T14:14:10,,,,,,
n_adversaries_5m,Freeze frame 360,2.4.1,continua,Adversarios em 5m da bola,contagem no freeze frame,contagem,15958,13999,1959,12.276,0.2802,0.0,5.0,1.043360240017144,1.0,0.6049446403447271,1.0,1.0,0.0,0.7066322946791597,2.4145388034807467,4165.0,Mann-Whitney U,18794420.5,2.2453188616474248e-08,4.715169609459592e-07,4.286517826781447e-08,7.648721975364168,True,0.10077461815323004,Cohen d,1.0262975091793192,1.087200407955125,1.0,1.0,0.06090289877580579,0.10077461815323004,recupera mais com valor alto,1.8576072287851093,False,0.5747538671989142,nearest_opponent_dist,False,0.028979380339640957,1.0294033683084665,0.9412095677845738,1.1258611588268046,0.5259941268616873,0.3936475903028622,1,0.5303882780250282,-1.6063524096971378,False,False,,,EXCLUIR,nao significativa no LRT,2,2026-05-16T14:14:10,,,,,,
n_opponents_10m,Freeze frame 360,2.4.1,continua,Adversarios em 10m da bola,contagem no freeze frame,contagem,15958,13999,1959,12.276,0.2802,0.0,9.0,1.963997428387742,2.0,1.0354432794521713,1.0,2.0,1.0,1.2636227717324502,2.439950678737786,1103.0,Mann-Whitney U,18717640.0,2.5612634953859913e-07,5.378653340310582e-06,4.137425646392755e-07,6.591545740272066,True,0.09696705783294526,Cohen d,1.9358936191326783,2.0362060173380927,2.0,2.0,0.10031239820541438,0.09696705783294526,recupera mais com valor alto,inf,True,0.46655838317455983,n_adversaries_5m,True,0.041442145265668924,1.0423128573735874,0.0,inf,0.9999999040591333,0.0,1,1.0,0.0,False,False,,,REVISAR,multicolinearidade (VIF >= 5),2,2026-05-16T14:14:10,,,,,,
nearest_teammate_dist,Freeze frame 360,2.4.1,continua,Distancia do companheiro mais proximo a bola,minimo das distancias,metros,15958,13999,1959,12.276,0.2802,0.0,4.315837291534985e-06,1.653664459297735e-06,1.5377536236313436e-06,1.0316302973250998e-06,7.864199848666945e-07,2.157918640743197e-06,1.3714986558765023e-06,0.45234442170865913,-0.666622493227512,174.0,Mann-Whitney U,20683665.5,1.712630798350736e-05,0.0003596524676536546,2.2478279228353412e-05,4.766336250298174,True,-0.07691243935230434,Cohen d,1.6758815825913472e-06,1.5965808408811788e-06,1.537753630681902e-06,1.5258789076710855e-06,-7.930074171016837e-08,-0.07691243935230434,recupera mais com valor baixo,1.2350334662890108,False,0.4256950492240098,dist_to_goal,False,21382.894744099784,inf,0.0,inf,0.33376846858581755,-6.345066328787652,1,1.0,-8.345066328787652,False,False,,,EXCLUIR,nao significativa no LRT,2,2026-05-16T14:14:10,,,,,,
nearest_opponent_dist,Freeze frame 360,2.4.1,continua,Distancia do adversario mais proximo a bola,minimo das distancias,metros,15958,13999,1959,12.276,0.2802,0.20738826063542828,18.634779769049533,3.164719719031307,2.859938862381805,1.780915532676095,1.8887016870405313,4.0865660903911945,2.197864403350663,1.2537224069568995,2.9808068965322163,368.0,Mann-Whitney U,21027368.0,3.690497596864359e-09,7.750044953415154e-08,7.750044953415154e-09,8.432915073135542,True,-0.11616802577117023,Cohen d,3.2226046818519274,3.0159928525490565,2.9115282849620816,2.743193041741235,-0.20661182930287092,-0.11616802577117023,recupera mais com valor baixo,1.5908415005127718,False,0.5747538671989142,n_adversaries_5m,False,-0.02373806009334138,0.9765414714412288,0.9483663478183068,1.0055536530143756,0.11201702029739918,2.5040636178764544,1,0.113552960645493,0.5040636178764544,True,False,,,EXCLUIR,nao significativa no LRT,2,2026-05-16T14:14:10,,,,,,
numerical_superiority,Freeze frame 360,2.4.1,continua,Superioridade numerica local,n_teammates_10m - n_opponents_10m,contagem,15958,13999,1959,12.276,0.2802,-6.0,6.0,0.3306664761768698,0.0,1.2330967386714728,0.0,1.0,1.0,0.03386970770123277,0.9891671945509404,1382.0,Mann-Whitney U,18624772.5,3.686624930743378e-08,7.741912354561095e-07,6.451593628800912e-08,7.433371044328862,True,0.09750405801210847,Cohen d,0.29701299990076413,0.4171341152473228,0.0,0.0,0.12012111534655867,0.09750405801210847,recupera mais com valor alto,inf,True,0.6360982089226472,n_teammates_10m,True,0.022861000256558597,1.02312431564552,0.0,inf,0.9999999470755154,0.0,1,1.0,0.0,False,False,,,REVISAR,multicolinearidade (VIF >= 5),2,2026-05-16T14:14:10,,,,,,
pressing_compactness,Freeze frame 360,2.4.1,continua,Compacidade do bloco de pressing,desvio padrao das distancias dos companheiros a bola,metros,15958,13983,1975,12.376,0.2802,1.4210919955176036,26.886812218693404,10.560821593701391,10.249607279987803,3.1586838455182327,8.198404522447245,12.642891328014516,4.444486805567271,0.4936090439598226,0.10054984079365692,107.0,Mann-Whitney U,20287955.0,0.0077714142099114146,0.1631996984081397,0.009066649911563317,2.1094999428883914,True,-0.05782873311944871,Cohen d,10.611987775648084,10.429380138547367,10.303355003745118,10.112388194968705,-0.18260763710071615,-0.05782873311944871,recupera mais com valor baixo,1.1586202197730715,False,0.3394416343968306,n_teammates_10m,False,0.0017153237643478512,1.0017167957736934,0.9877249496953912,1.015906846581702,0.8110990341281128,-0.009818986287427833,1,1.0,-2.009818986287428,False,False,,,EXCLUIR,nao significativa no LRT,2,2026-05-16T14:14:10,,,,,,
voronoi_area_carrier,Voronoi,A.1,continua,Area da celula de Voronoi do portador,diagrama de Voronoi clipado ao campo,m2,15958,13802,2156,13.51,0.2802,1.9269042812195967,6161.281540413563,254.06131857726655,82.92092901377373,502.2589475590455,43.93884929771718,213.54145415066938,169.6026048529522,4.61612239198558,28.24382999554081,1797.0,Mann-Whitney U,21252720.0,9.34192970680707e-22,1.9618052384294846e-20,3.9236104768589694e-21,21.029563404877464,True,-0.12970754749042543,Cohen d,272.3260680657234,207.28734968603254,87.05150243310808,72.00252543047958,-65.03871837969086,-0.12970754749042543,recupera mais com valor baixo,1.093818622663564,False,0.21507872451596327,n_teammates_10m,False,-0.0001359479340425011,0.9998640613064591,0.9997727581013286,0.9999553728497598,0.003525081779140613,8.917703290822828,1,0.0028241945420655287,6.917703290822828,True,True,,,INCLUIR,aprovada nos testes executados,2,2026-05-16T14:14:10,,,,,,
voronoi_area_presser,Voronoi,A.1,continua,Area da celula de Voronoi do pressionante,diagrama de Voronoi clipado ao campo,m2,15958,13802,2156,13.51,0.2802,3.4876264942273716,7259.766634827856,262.581444897749,100.36065352112053,517.5709754518774,54.88424369825415,215.49689261746036,160.6126489192062,4.984907593527748,33.400847294816224,1716.0,Mann-Whitney U,19925946.0,0.001049362135319938,0.0220366048417187,0.0012962708730422765,2.9790746107287727,True,-0.0005571753980138591,Cohen d,262.6624326437655,262.3740443902775,102.46126030781821,95.25014276355157,-0.28838825348799446,-0.0005571753980138591,recupera mais com valor baixo,1.1066649988520425,False,0.24955973839187848,n_opponents_10m,False,7.854021181376443e-05,1.000078543296177,0.9999971410175486,1.0001599522011553,0.05860777885484973,3.4560248642083025,1,0.06302165399428386,1.4560248642083025,True,False,,,EXCLUIR,nao significativa no LRT,2,2026-05-16T14:14:10,,,,,,
voronoi_n_opp_neighbors,Voronoi,A.1,continua,Adversarios com celula adjacente a do portador,adjacencia no diagrama de Voronoi,contagem,15958,13802,2156,13.51,0.2802,0.0,5.0,1.2823503840023185,1.0,0.971019846138225,1.0,2.0,1.0,0.5512158931093508,0.04107029227065517,257.0,Mann-Whitney U,20155102.5,4.337042346857426e-06,9.107788928400595e-05,6.505563520286139e-06,5.362806337381623,True,-0.07851354809107061,Cohen d,1.3037477332258713,1.2275541795665634,1.0,1.0,-0.07619355365930791,-0.07851354809107061,recupera mais com valor baixo,1.3748312573647417,False,0.4154752980187478,numerical_superiority,False,-0.04359664169601869,0.9573400306559989,0.9113892717697331,1.0056075517728795,0.08236072203049992,2.9664096690867154,1,0.08501033222036165,0.9664096690867154,True,False,,,EXCLUIR,nao significativa no LRT,2,2026-05-16T14:14:10,,,,,,
zone,Posicional,2.4.2,categorica,Terco do campo,Defensivo/Medio/Atacante por coordenada x,categorica,15958,15958,0,0.0,0.2802,,,,,,,,,,,,Qui-quadrado,76.20500028951909,2.8333122571264296e-17,5.949955739965502e-16,9.916592899942505e-17,16.547705559586923,True,0.069103891396114,Cramers V,,,,,,,maior taxa: Defensivo,,False,,,False,0.3949779331453227,1.4843514355920926,1.1256584060643788,1.9573426294106977,0.0051311871595,15.889276902453275,2,0.00035455805794503044,11.889276902453275,True,True,,,INCLUIR,aprovada nos testes executados,2,2026-05-16T14:14:10,3.0,Medio|Defensivo|Atacante,Medio,7155.0,Atacante,3375.0
trigger_type,Tatica,2.4.4,categorica,Evento do adversario antes da pressao,merge_asof backward 5s,categorica,15958,15958,0,0.0,0.2802,,,,,,,,,,,,Qui-quadrado,82.74972020478668,4.552341622019905e-17,9.559917406241801e-16,1.3657024866059716e-16,16.341765154567483,True,0.07201020323464684,Cramers V,,,,,,,maior taxa: Other,,False,,,False,0.17131051455304133,1.1868592288725492,1.0306118473455048,1.3667947179028577,0.017377070610928715,11.714330978658836,4,0.0196069471924159,3.714330978658836,True,True,,,INCLUIR,aprovada nos testes executados,2,2026-05-16T14:14:10,5.0,Pass|Ball Receipt*|Carry|Other|Dribble,Pass,4037.0,Dribble,199.0
action_under_pressure,Tatica,2.4.4,categorica,Acao do adversario sob pressao,merge_asof nearest 2s,categorica,15958,15958,0,0.0,0.2802,,,,,,,,,,,,Qui-quadrado,223.53080331398917,3.258957251931801e-47,6.843810229056782e-46,2.2812700763522608e-46,46.486921336181645,True,0.11835305128974075,Cramers V,,,,,,,maior taxa: Dribble,,False,,,False,0.2224093948536117,1.249082641207898,1.0562819654593618,1.4770747732007208,0.009320205106408333,44.418197781900744,4,5.252537753104132e-09,36.418197781900744,True,True,,,INCLUIR,aprovada nos testes executados,2,2026-05-16T14:14:10,5.0,Carry|Other|Pass|Ball Receipt*|Dribble,Carry,5914.0,Dribble,518.0
is_counterpress,Tatica,2.4.4,binaria,Pressao ate 5s apos perda do proprio time,merge_asof backward 5s,binaria,15958,15958,0,0.0,0.2802,,,,,,,,,,,,Qui-quadrado,19.60106249356538,9.541612208672506e-06,0.0002003738563821226,1.3358257092141507e-05,5.020378238065921,True,0.035046978027407395,Cramers V,,,,,,,maior taxa: 1,,False,,,False,0.10715621189473394,1.1131081216276368,0.9925302491907576,1.2483344376089407,0.06698237110296894,3.3103839903360495,1,0.06884340398433608,1.3103839903360495,True,False,,,EXCLUIR,nao significativa no LRT,2,2026-05-16T14:14:10,2.0,0|1,0,12010.0,1,3948.0
had_tackle,Acoes defensivas concorrentes,2.4.5,binaria,Desarme do time pressionante em ate 3s,merge_asof forward 3s,binaria,15958,15958,0,0.0,0.2802,,,,,,,,,,,,Qui-quadrado,1503.3834415445867,0.0,0.0,0.0,,True,0.30693446059325646,Cramers V,,,,,,,maior taxa: 1,,False,,,False,1.7153714076939977,5.5587396877013315,4.918400302109239,6.2824465309126465,3.9498215681583605e-166,809.061913381729,1,5.778988016980736e-178,807.061913381729,True,True,,,INCLUIR,aprovada nos testes executados,2,2026-05-16T14:14:10,2.0,0|1,0,14117.0,1,1841.0
had_block,Acoes defensivas concorrentes,2.4.5,binaria,Bloqueio do time pressionante em ate 3s,merge_asof forward 3s,binaria,15958,15958,0,0.0,0.2802,,,,,,,,,,,,Qui-quadrado,5.294808002821722,0.021389088731578427,0.449170863363147,0.023640571755955103,1.6698077178724846,True,0.018215281109533923,Cramers V,,,,,,,maior taxa: 1,,False,,,False,0.20485910886392872,1.2273521297450247,1.0489615154450067,1.4360805694101968,0.010573783521735335,6.357670187140684,1,0.011687491304124723,4.357670187140684,True,True,,,INCLUIR,aprovada nos testes executados,2,2026-05-16T14:14:10,2.0,0|1,0,14976.0,1,982.0
had_foul,Acoes defensivas concorrentes,2.4.5,binaria,Falta cometida pelo time pressionante em ate 3s,merge_asof forward 3s,binaria,15958,15958,0,0.0,0.2802,,,,,,,,,,,,Qui-quadrado,424.5265742134501,2.5246214421959053e-94,5.301705028611401e-93,2.6508525143057007e-93,93.59780373354167,True,0.16310347356494012,Cramers V,,,,,,,maior taxa: 0,,False,,,False,-2.6137431507249245,0.07325980739286662,0.05095780276149864,0.1053224253871278,3.205425029695188e-45,441.1861838491459,1,5.974308960609952e-98,439.1861838491459,True,True,,,INCLUIR,aprovada nos testes executados,2,2026-05-16T14:14:10,2.0,0|1,0,14718.0,1,1240.0
